feature,mutual_information,rf_importance,l1_abs_coef,mi_norm,rf_norm,l1_norm,consensus_score,selected_by_l1
sensor_15_dev_mean_10,0.0116629244251929,0.0005370107758092836,0.0,0.03190266634744608,0.006065846046612618,0.0,0.012656170798019567,False
sensor_21_std_5,0.0037818632470263402,0.0007088901596320873,0.7169662867003442,0.010344877231728685,0.008007322694422081,0.015596284555176747,0.011316161493775838,True
sensor_21_dev_mean_10,0.009470593433977603,0.0005623222253999623,0.0,0.02590578241113004,0.00635175344987147,0.0,0.01075251195366717,False
sensor_15_std_10,0.006409307621524141,0.0010804766193428406,0.0,0.017531966693186043,0.012204605801477912,0.0,0.009912190831554651,False
setting_2,0.0035891967949588377,0.0003658912651325287,0.696187504679047,0.009817859023209849,0.0041329526036968395,0.015144280321329712,0.009698363982745468,True
sensor_3_dev_mean_20,0.007993339675450573,0.0005910660274881846,0.0,0.021864914782167497,0.006676431251725077,0.0,0.009513782011297524,False
sensor_17_dev_mean_10,0.006967054922243143,0.000530961344960012,0.0,0.019057624014825827,0.005997514240521743,0.0,0.008351712751782524,False
sensor_2_std_5,0.004108850653227192,0.0010164144296764294,0.0,0.011239315859600533,0.011480986467508803,0.0,0.007573434109036446,False
sensor_20_std_5,0.004550504043568049,0.0008097297221328195,0.0,0.012447410865586109,0.009146363639392701,0.0,0.007197924834992937,False
sensor_12_std_5,0.004318835164565771,0.0007416219143502871,0.0,0.011813705743230032,0.008377046718408145,0.0,0.006730250820546059,False
sensor_4_dev_mean_5,0.004575116105718591,0.0006262145498696698,0.0,0.01251473449543106,0.0070734540585965094,0.0,0.006529396184675857,False
sensor_7_std_5,0.002837520242700897,0.0009993283967638102,0.0,0.007761729241893268,0.011287989883708199,0.0,0.0063499063752004885,False
sensor_4_std_5,0.0030300051641534154,0.0008685402974798929,0.0,0.008288250893079607,0.009810662964542095,0.0,0.006032971285873902,False
sensor_3_dev_mean_10,0.004088891852250365,0.0005380946204684881,0.0,0.01118472072161924,0.006078088696364423,0.0,0.005754269805994555,False
sensor_11_dev_mean_5,0.00405510338774806,0.0005055146075460134,0.0,0.011092296037199516,0.005710078683368768,0.0,0.005600791573522761,False
sensor_7_dev_mean_5,0.0034533246721908384,0.0005846962754257202,0.0,0.009446195550091269,0.006604481233016841,0.0,0.00535022559436937,False
sensor_20_diff_1,0.0027329309286396875,0.00046847544633831124,0.11565905015992832,0.007475636503197686,0.0052917000218921885,0.00251595017943936,0.005094428901509745,True
sensor_12_diff_1,0.003682901369269409,0.00044806671536899104,0.0,0.01007417773543628,0.005061171649570295,0.0,0.005045116461668858,False
sensor_11_diff_1,0.004075052778737431,0.0003494401611290386,0.0,0.011146865435179485,0.003947127907662392,0.0,0.005031331114280626,False
sensor_10,0.005076821221555061,5.098464089905826e-05,0.0,0.013887094491245144,0.0005759008875928969,0.0,0.00482099845961268,False
sensor_3_std_5,0.0016529029914535975,0.0007852920720644397,0.0,0.0045213370779573995,0.008870326305072191,0.0,0.004463887794343197,False
sensor_3_diff_1,0.002803646187719444,0.00049023343329184,0.0,0.007669070433989651,0.00553746901776646,0.0,0.004402179817252037,False
sensor_17_std_5,0.0020742979328896016,0.000658566633496976,0.0,0.005674017291514735,0.007438889478909323,0.0,0.004370968923474686,False
sensor_17_dev_mean_5,0.003097353992583818,0.00039404473256193193,0.0,0.008472476317507922,0.00445096223552913,0.0,0.004307812851012351,False
sensor_21_dev_mean_5,0.0026269326692105466,0.00043593873376278726,0.0,0.007185689747075927,0.004924179111257603,0.0,0.004036622952777843,False
sensor_15_std_5,0.0008834856265342861,0.000853108278452311,0.0,0.0024166792254269034,0.009636349420333154,0.0,0.004017676215253352,False
sensor_20_dev_mean_5,0.0019057569942593222,0.0005205251936605246,0.0,0.005212991811542266,0.005879631900066942,0.0,0.0036975412372030696,False
sensor_17_diff_1,0.002404861776274636,0.00020872687375028646,0.0,0.006578238875876734,0.002357690271767724,0.0,0.0029786430492148193,False
setting_1,0.0,0.0006155037913771277,0.0,0.0,0.0069524698717144135,0.0,0.002317489957238138,False
sensor_15_diff_1,0.0,0.0005175616627907725,0.0,0.0,0.005846157111813002,0.0,0.0019487190372710005,False
sensor_3_dev_mean_5,0.0,0.0004868673087932736,0.0,0.0,0.005499446702569407,0.0,0.001833148900856469,False
